name,price,type,color,psu,side_panel,external_volume,internal_35_bays
Lian Li O11 Dynamic EVO XL,254.98,ATX Full Tower,Black,,Tempered Glass,84.4,4
Montech KING 95 PRO,148.98,ATX Mid Tower,Black,,Tempered Glass,63,5
Fractal Design Meshify C,109.99,ATX Mid Tower,Black,,Tinted Tempered Glass,40.6,2
Cooler Master MasterBox NR200,67.29,Mini ITX Desktop,Black,,,20.3,2
Okinos Aqua 3,64.98,MicroATX Mini Tower,Black,,Tempered Glass,28.8,2
Lian Li LANCOOL 216 RGB,102.97,ATX Mid Tower,Black,,Tempered Glass,55.6,2
HYTE Y70,219.99,ATX Mid Tower,White,,Tempered Glass,70.7,2
Fractal Design Pop Air,79.99,ATX Mid Tower,Black,,Tempered Glass,46.2,2
NZXT H7 Flow (2024),129.99,ATX Mid Tower,Black,,Tempered Glass,62.1,2
MUSETEX Y6,85.48,ATX Mid Tower,White,,Tempered Glass,40.9,2
Corsair 3000D AIRFLOW,94.99,ATX Mid Tower,Black,,Tempered Glass,49.5,2
Lian Li O11 Vision,142.99,ATX Mid Tower,Black,,Tempered Glass,67.8,2
Fractal Design North,139.99,ATX Mid Tower,Black,,Mesh,45.1,2
HYTE Y70,219.99,ATX Mid Tower,Black,,Tempered Glass,70.7,2
Lian Li O11D EVO RGB,159.99,ATX Mid Tower,White,,Tempered Glass,65.3,4
Montech X3 Mesh,54.99,ATX Mid Tower,Black,,Tempered Glass,,2
Cooler Master Elite 301 Lite,64.94,MicroATX Mini Tower,Black,,Tempered Glass,34.1,1
Fractal Design Terra,179.99,Mini ITX Desktop,Green / Brown,,Mesh,11.4,0
Corsair FRAME 4000D,104.99,ATX Mid Tower,Black,,Tempered Glass,56.7,2
NZXT H6 Flow RGB,129.97,ATX Mid Tower,White,,Tempered Glass,51.8,1
Asus Prime AP201,89.97,MicroATX Mini Tower,Black,,Mesh,33,3
Montech XR Wood,79.9,ATX Mid Tower,Black / Brown,,Tempered Glass,49.8,2
Deepcool CH160,,Mini ITX Desktop,Black,,Tempered Glass,19.1,1
Montech X5M,56,MicroATX Mini Tower,Black,,Tempered Glass,45.3,2
Lian Li A3-mATX,89.99,MicroATX Mini Tower,White / Brown,,Tempered Glass,26.3,1
Antec C8,99.99,ATX Full Tower,Black,,Tempered Glass,66.9,2
Thermaltake Versa H18,118.5,MicroATX Mini Tower,Black,,Acrylic,30.4,2
Silverstone ALTA F2,1062.27,ATX Full Tower,Black,,Tempered Glass,98.9,8
NZXT H6 Flow RGB,134.97,ATX Mid Tower,Black,,Tempered Glass,51.8,1
Corsair 5000D AIRFLOW,174.99,ATX Mid Tower,Black,,Tempered Glass,66.2,2
Fractal Design Ridge PCIe 4.0,129.99,Mini ITX Tower,Black,,Mesh,16.3,0
Corsair 3500X,99.99,ATX Mid Tower,Black,,Tempered Glass,55.9,2
NZXT H9 Elite,169.97,ATX Mid Tower,White,,Tempered Glass,66.9,2
Zalman T3 PLUS,39.5,MicroATX Mid Tower,Black,,Tempered Glass,30.9,1
Antec FLUX PRO,164.99,ATX Full Tower,Black / Brown,,Tempered Glass,70.8,4
Cooler Master Elite 301,49.99,MicroATX Mid Tower,Black,,Tempered Glass,34.1,1
Lian Li O11 Dynamic EVO XL,249.99,ATX Full Tower,White,,Tempered Glass,84.4,4
Jonsbo Jonsplus Z20,99,MicroATX Desktop,Black,,Tempered Glass,25.3,1
Fractal Design Pop Mini Air,99.99,MicroATX Mid Tower,Black,,Tempered Glass,36.5,2
Azza Fighter,59.99,ATX Mid Tower,Black,,Tempered Glass,34.2,2
Fractal Design North XL,194.97,ATX Full Tower,Black,,Mesh,61.4,2
Corsair 4000D Airflow,103.59,ATX Mid Tower,White,,Tinted Tempered Glass,48.6,2
MSI MAG FORGE 321R AIRFLOW,89.99,ATX Mid Tower,Black,,Tempered Glass,49.4,2
Jonsbo D32 PRO,71.99,MicroATX Desktop,Black,,Tempered Glass,25.7,2
Lian Li A4-H20 X4,154.99,Mini ITX Desktop,Black,,Mesh,11.1,0
Lian Li O11 Vision,138.97,ATX Mid Tower,White,,Tempered Glass,67.8,2
Fractal Design North,139.99,ATX Mid Tower,White,,Tempered Glass,45.1,2
Antec C5 ARGB,104.99,ATX Mid Tower,White,,Tempered Glass,,1
Okinos Cypress 3,64.98,MicroATX Mini Tower,Black / Brown,,Tempered Glass,,2
Fractal Design Focus G,59.99,ATX Mid Tower,Black,,Acrylic,42.2,2
Thermaltake View 170 ARGB,62.99,MicroATX Mini Tower,Black,,Tempered Glass,35,1
NZXT H5 Flow RGB (2024),119.99,ATX Mid Tower,Black,,Tempered Glass,45,1
Fractal Design Terra,179.99,Mini ITX Desktop,Silver / Brown,,Mesh,11.4,0
NZXT H9 Flow RGB+ (2025),289.99,ATX Mid Tower,Black,,Tinted Tempered Glass,76.7,2
Lian Li Lancool 207,89.99,ATX Mid Tower,White,,Tempered Glass,45.5,2
NZXT H9 Elite,211.99,ATX Mid Tower,Black,,Tempered Glass,66.9,2
Corsair 7000D AIRFLOW,289.99,ATX Full Tower,Black,,Tempered Glass,81.8,6
Lian Li ODYSSEY X,1468.05,ATX Full Tower,Black,,Tempered Glass,,3
Lian Li LANCOOL 216,111.97,ATX Mid Tower,Black,,Tempered Glass,55.6,2
Thermaltake View 270 Plus TG ARGB,78.99,ATX Mid Tower,Black,,Tempered Glass,47.6,2
Antec FLUX,104.99,ATX Mid Tower,Black / Brown,,Tempered Glass,58.1,2
Lian Li A3-mATX,72.98,MicroATX Mini Tower,White,,Mesh,26.3,1
Cooler Master MasterBox NR200P V2,109.99,Mini ITX Desktop,Black,,Mesh,20.1,1
Montech KING 95 PRO,139,ATX Mid Tower,White,,Tempered Glass,63,5
Corsair 9000D RGB AIRFLOW,519.99,ATX Full Tower,Black,,Tempered Glass,149.6,5
Thermaltake V100 Perforated,49.99,ATX Mid Tower,Black,,,36.6,2
Mars Gaming MC-S2,79.34,ATX Mid Tower,White,,Acrylic,19.5,1
Corsair FRAME 4000D RS,94.99,ATX Mid Tower,Black,,Tempered Glass,56.7,2
Fractal Design Focus 2,74.99,ATX Mid Tower,Black,,,45.8,2
Asus ROG Strix Helios,234.97,ATX Full Tower,Black,,Tempered Glass,83.5,2
Deepcool CH260,,MicroATX Desktop,Black,,Tempered Glass,30.8,1
Fractal Design Pop Air RGB,99.99,ATX Mid Tower,Black,,Tempered Glass,46.2,2
Zalman CUBIX,37.99,MicroATX Mini Tower,Black,,,,1
Deepcool CG530 4F,,ATX Mid Tower,Black,,Tinted Acrylic,50,2
NZXT H9 Flow (2025),164.99,ATX Mid Tower,Black,,Tinted Tempered Glass,76.7,2
Montech KING 65 PRO,94.99,ATX Mid Tower,Black,,Tempered Glass,63,2
Deepcool CC560 V2,,ATX Mid Tower,Black,,Tempered Glass,44.9,2
Fractal Design Define R5,124.99,ATX Mid Tower,Black,,,54.2,8
NZXT H510,,ATX Mid Tower,Black,,Tempered Glass,41.3,2
Lian Li Vector V100R,,ATX Mid Tower,Black,,Tempered Glass,53.2,1
Cooler Master MasterBox Q300L,36.99,MicroATX Mini Tower,White,,Acrylic,33.6,1
NZXT H9 Flow RGB+ (2025),289.99,ATX Mid Tower,White,,Tempered Glass,76.7,2
Cooler Master Q300L V2,55.98,MicroATX Mini Tower,Black,,Tempered Glass,34.1,1
Antec C8 Wood,119.99,ATX Full Tower,Black / Brown,,Tempered Glass,66.9,2
Lian Li O11 Dynamic Mini,229,ATX Mid Tower,Black,,Tempered Glass,43,2
Montech AIR 100 ARGB,69.98,MicroATX Mid Tower,White,,Tempered Glass,36.1,2
HYTE Y60,179.99,ATX Mid Tower,Black,,Tempered Glass,60,2
MUSETEX K2,74.98,ATX Mid Tower,Black,,Tempered Glass,44.4,2
Fractal Design Ridge PCIe 4.0,142.97,Mini ITX Tower,White,,Mesh,16.3,0
HYTE Y70 Touch Infinite,399.99,ATX Mid Tower,White / Black,,Tempered Glass,70.7,2
Zalman S2,49.98,ATX Mid Tower,Black,,Acrylic,38.4,2
Fractal Design North XL,179.99,ATX Full Tower,White,,Tempered Glass,61.4,2
Zalman T8,42.95,ATX Mid Tower,Black,,,33.4,2
Jonsbo C6-ITX,62,Mini ITX Desktop,Black,,Mesh,15.9,1
Lian Li A4-H20 A4,154.99,Mini ITX Desktop,Silver / Black,,Mesh,11.1,0
MSI MAG FORGE M100R,,MicroATX Mini Tower,Black,,Tempered Glass,32.8,2
NZXT H510,,ATX Mid Tower,White,,Tempered Glass,41.3,2
Deepcool CH370,,MicroATX Mid Tower,Black,,Tempered Glass,38.3,2
GameMax Nova N5,50.99,ATX Mid Tower,Black,,Tempered Glass,37.6,2
Lian Li LANCOOL III RGB,179.99,ATX Mid Tower,Black,,Tempered Glass,65.5,4
SAMA SV01,79.99,ATX Mid Tower,Black,,Tempered Glass,43.5,2
be quiet! Pure Base 500DX,109.9,ATX Mid Tower,Black,,Tempered Glass,48.3,2
NZXT H3 Flow,69.98,MicroATX Mid Tower,White,,Tempered Glass,35,1
NZXT H5 Flow RGB (2024),89.99,ATX Mid Tower,White,,Tempered Glass,45,1
Fractal Design Torrent,204.99,ATX Mid Tower,Black,,Tinted Tempered Glass,69.8,2
Montech AIR 100 LITE,79.98,MicroATX Mid Tower,Black,,Tempered Glass,36.1,2
Lian Li PC-O11 Dynamic,,ATX Full Tower,Black,,Tempered Glass,54,3
Lian Li A3-mATX,89.99,MicroATX Mini Tower,Black / Brown,,Tempered Glass,26.3,1
Thermaltake Versa H16 ARGB,54.99,MicroATX Mini Tower,Black,,Tempered Glass,33,2
Lian Li O11 Dynamic Mini Snow Edition,,ATX Mid Tower,White,,Tempered Glass,43,2
GameMax Vista M,53.9,MicroATX Mini Tower,Black,,Tempered Glass,40.9,2
Phanteks Eclipse G370A,56.98,ATX Mid Tower,Black,,Tempered Glass,48.7,0
Thermaltake View 170 ARGB,67.99,MicroATX Mini Tower,White,,Tempered Glass,35,1
Montech AIR 903 BASE,69,ATX Mid Tower,White,,Tempered Glass,54.2,2
MSI MAG PANO 100R PZ,159.99,ATX Mid Tower,Black,,Tempered Glass,72.5,2
GAMDIAS TALOS E3 MESH,59.99,ATX Mid Tower,Black,,Tempered Glass,34.1,2
Antec NX200M,92.97,MicroATX Mid Tower,Black,,Tempered Glass,,2
MSI MAG FORGE 320R AIRFLOW,,ATX Mid Tower,Black,,Tempered Glass,49.4,2
Fractal Design Meshify 2,164.99,ATX Mid Tower,Black,,,61.7,6
Fractal Design Node 804,134.99,MicroATX Mid Tower,Black,,Acrylic,41.1,10
Phanteks NV5 MKII,120.98,ATX Mid Tower,Black,,Tempered Glass,60.2,3
Phanteks EVOLV X2,174.98,ATX Mid Tower,Black,,Tempered Glass,60.9,2
NZXT H7 Flow RGB (2024),149.99,ATX Mid Tower,Black,,Tempered Glass,62.1,2
Cooler Master MasterBox NR200,89.99,Mini ITX Desktop,White / Black,,,20.3,2
HYTE Y40,129.99,ATX Mid Tower,Black,,Tempered Glass,49.7,1
Montech X5,75,ATX Mid Tower,Black,,Tempered Glass,51.6,2
HAVN HS420,229.99,ATX Mid Tower,Black,,Tempered Glass,76.8,5
Thermaltake Versa H18,54.99,MicroATX Mini Tower,Black,,Tempered Glass,30.4,2
Corsair iCUE 4000X RGB,144.99,ATX Mid Tower,Black,,Tempered Glass,48.6,2
Fractal Design Meshify 3,154.99,ATX Mid Tower,Black,,Tinted Tempered Glass,50.3,2
Fractal Design North,154.97,ATX Mid Tower,White,,Mesh,45.1,2
Thermaltake Core V1,53.68,Mini ITX Desktop,Black,,,22.4,2
HYTE Y60 Snow White,179.99,ATX Mid Tower,White,,Tempered Glass,60,2
Fractal Design Node 304,109.99,Mini ITX Tower,Black / White,,,19.5,6
Cooler Master MasterBox TD500 Mesh V2,107.89,ATX Mid Tower,,,Tempered Glass,52.4,2
Lian Li Lancool 207 Digital,104.99,ATX Mid Tower,Black,,Tempered Glass,45.5,2
Corsair 6500X,199.99,ATX Mid Tower,Black,,Tempered Glass,78.3,2
Deepcool MATREXX 40 3FS,,MicroATX Mini Tower,Black,,Tempered Glass,,2
Lian Li O11 Dynamic EVO,,ATX Mid Tower,Black,,Tinted Tempered Glass,60.8,6
MSI MAG PANO 100R PZ,159.99,ATX Mid Tower,White,,Tempered Glass,72.5,2
Montech X5M,56,MicroATX Mini Tower,White,,Tempered Glass,45.3,2
Fractal Design Pop Mini Air,99.99,MicroATX Mid Tower,White,,Tempered Glass,36.5,2
MSI MAG FORGE 120A AIRFLOW,,ATX Mid Tower,Black,,Tempered Glass,43,3
DIYPC DIY-S07,43.97,ATX Mid Tower,Black,,Acrylic,27.5,2
Thermaltake Versa H17,49.99,MicroATX Mini Tower,Black,,,30.4,2
Jonsbo TK-0,129.99,Mini ITX Desktop,Black,,Tempered Glass,16.4,1
Aerocool CS-107 RGB,,MicroATX Mini Tower,Black,,Tempered Glass,23.7,1
Deepcool CH370,,MicroATX Mid Tower,White,,Tempered Glass,38.3,2
Thermaltake Versa H21,47.99,ATX Mid Tower,Black,,,42.8,3
Corsair 2500X,145.13,MicroATX Mini Tower,Black,,Tempered Glass,54.8,2
Thermaltake View 270 Plus TG ARGB,89.99,ATX Mid Tower,White,,Tempered Glass,47.6,2
Lian Li PC-O11 Dynamic,,ATX Full Tower,White,,Tempered Glass,54,3
HYTE Y70,219.99,ATX Mid Tower,Pink,,Tempered Glass,70.7,2
Antec AX20,98.32,ATX Mid Tower,Black,,Tempered Glass,33.4,2
Deepcool CH160,,Mini ITX Desktop,White,,Tempered Glass,19.1,1
Montech AIR 903 MAX,89.99,ATX Mid Tower,White,,Tempered Glass,54.2,2
Fractal Design Define 7,194.99,ATX Mid Tower,Black,,,62.4,6
Aerocool Bolt Mini Glass,,MicroATX Mini Tower,Black,,Tempered Glass,,2
MSI MAG FORGE 100R,157.02,ATX Mid Tower,Black,,Tempered Glass,,2
NZXT H7 Flow (2024),109.99,ATX Mid Tower,White,,Tempered Glass,62.1,2
FormD T1 V2.1 CNC Anodized,,Mini ITX Desktop,Black,,Mesh,,0
Fractal Design Meshify 2 XL,219.99,ATX Full Tower,Black,,Tinted Tempered Glass,81.5,6
Corsair 3500X,89.99,ATX Mid Tower,White,,Tempered Glass,55.9,2
Corsair FRAME 4000D RS ARGB,124.99,ATX Mid Tower,White,,Tempered Glass,56.7,2
MSI MAG FORGE 112R,89.99,ATX Mid Tower,Black,,Tempered Glass,42.5,2
Lian Li O11 Vision Chrome,164,ATX Mid Tower,Black,,Tinted Tempered Glass,67.8,2
HAVN HS420 VGPU,299.99,ATX Mid Tower,Black,,Tempered Glass,76.8,5
Corsair iCUE 4000X RGB,86.99,ATX Mid Tower,White,,Tempered Glass,48.6,2
Asus Prime AP201,79.98,MicroATX Mini Tower,White,,Mesh,33,3
Lian Li ODYSSEY X,1486.88,ATX Full Tower,Silver / Black,,Tempered Glass,,3
Lian Li Vector V100R,94,ATX Mid Tower,White,,Tempered Glass,53.2,1
Thermaltake The Tower 300,99.99,MicroATX Mini Tower,Black,,Tempered Glass,53,3
Asus TUF Gaming GT502,179.97,ATX Mid Tower,Black,,Tempered Glass,57.2,4
Thermaltake The Tower 600,169.99,ATX Mid Tower,Black,,Tempered Glass,66.2,1
Jonsbo D32 STD,,MicroATX Desktop,Black,,Tempered Glass,25.7,1
Corsair iCUE LINK 3500X RGB,159.99,ATX Mid Tower,Black,,Tempered Glass,55.9,2
Corsair 3000D RGB AIRFLOW,124.99,ATX Mid Tower,Black,,Tempered Glass,49.5,2
Cooler Master N400,64.99,ATX Mid Tower,Black,,,40.2,7
Asus Prime AP201,83.99,MicroATX Mini Tower,Black,,Tempered Glass,33,3
Lian Li LANCOOL 216 RGB,105.97,ATX Mid Tower,White,,Tempered Glass,55.6,2
NZXT H9 Flow (2025),159.99,ATX Mid Tower,White,,Tempered Glass,76.7,2
Fractal Design Define 7 XL,224.99,ATX Full Tower,Black,,,82,6
be quiet! Pure Base 501 Airflow,106.99,ATX Mid Tower,Black,,,48.1,2
Cooler Master N200,59.99,MicroATX Mini Tower,Black,,,33.8,2
Fractal Design Pop Air,84.99,ATX Mid Tower,Black,,,46.2,2
BGears b-Vortex-RGB,48.99,ATX Mid Tower,Black,,Tempered Glass,38.3,2
Lian Li LANCOOL 205M MESH,89.99,MicroATX Mini Tower,Black,,Tempered Glass,33.8,2
Jonsbo N4,119.99,MicroATX Desktop,Black / Brown,,Mesh,19.6,6
be quiet! Light Base 600 LX,179.9,ATX Mid Tower,Black,,Tempered Glass,59.7,1
BGears b-Pellucid,54.99,MicroATX Mini Tower,Black,,Tinted Tempered Glass,36.6,1
Vetroo AL900,84.99,ATX Mid Tower,Pink,,Tempered Glass,48.1,0
Deepcool MATREXX 30,,MicroATX Mini Tower,Black,,Tempered Glass,29.6,3
Lian Li O11 Dynamic EVO,,ATX Mid Tower,White / Gray,,Tempered Glass,60.8,6
Aerocool P500C,,ATX Mid Tower,Black,,Mesh,54,2
Phanteks XT PRO ULTRA,81.98,ATX Mid Tower,White,,Tempered Glass,51.8,2
Deepcool CG530 4F,,ATX Mid Tower,White,,Tinted Acrylic,50,2
Phanteks Eclipse G400A,,ATX Mid Tower,Black,,Tempered Glass,59.4,2
Thermaltake View 380 ARGB,103.99,ATX Mid Tower,Black,,Tinted Tempered Glass,51.6,1
Fractal Design Pop XL Silent,109.99,ATX Full Tower,Black,,,62.4,3
HYTE Y70 Touch Infinite,419.99,ATX Mid Tower,Red / Black,,Tempered Glass,70.7,2
Corsair iCUE 7000X RGB,359.99,ATX Full Tower,Black,,Tempered Glass,81.8,6
SAMA SV01,79.99,ATX Mid Tower,White,,Tempered Glass,43.5,2
PC Cooler I100 PRO MESH,101.69,Mini ITX Desktop,Gray,,Mesh,7.5,1
Montech X3 Mesh,69.98,ATX Mid Tower,White,,Tempered Glass,,2
Cooler Master MasterBox NR200P V2,104.99,Mini ITX Desktop,White,,Mesh,20.1,1
Lian Li LANCOOL 217,124.99,ATX Mid Tower,White / Brown,,Tempered Glass,57.7,1
Antec C3 ARGB,97.19,ATX Mid Tower,Black,,Tempered Glass,47.9,1
Thermaltake Versa H16 ARGB,49.99,MicroATX Mini Tower,White,,Tempered Glass,33,2
Deepcool CC360 ARGB,,MicroATX Mini Tower,Black,,Tinted Tempered Glass,38.7,2
NZXT H5 Flow RGB (2023),59.99,ATX Mid Tower,Black,,Tempered Glass,47,1
Lian Li O11 Air Mini,,ATX Mid Tower,Black,,Tempered Glass,44.2,4
Fractal Design Focus 2,77.98,ATX Mid Tower,Black,,Tempered Glass,45.8,2
Asus A31,74.98,ATX Mid Tower,Black,,Tempered Glass,52.9,2
Corsair iCUE 5000D RGB AIRFLOW,204.99,ATX Mid Tower,Black,,Tempered Glass,66.2,2
Antec C8 Curve Wood,152.99,ATX Mid Tower,Black / Brown,,Tempered Glass,66.9,1
Jonsbo NV10,,Mini ITX Desktop,Black / Brown,,Mesh,4.5,0
Jonsbo C6 MAX,79.99,MicroATX Desktop,Black,,Tempered Glass,20.8,1
