name,price,capacity_w,capacity_va,image
APC BE600M1,83.99,330.0,600.0,
APC Back-UPS Pro 700VA,170.99,420.0,700.0,https://cdna.pcpartpicker.com/static/forever/images/product/e0a34fbe10acaf519ea2ed36a8e7fc2e.256p.jpg
APC Back-UPS Pro 1500VA for Gaming,,900.0,1500.0,https://cdna.pcpartpicker.com/static/forever/images/product/b22fb9713e4ad5dd4245dbec30740766.256p.jpg
CyberPower OR2200LCDRTXL2U,905.95,1650.0,2190.0,
APC Back-UPS 1000,183.99,600.0,1000.0,https://cdna.pcpartpicker.com/static/forever/images/product/0dd4e1eecc238b78a3b4abfa14af9d50.256p.jpg
Tripp Lite SMX1500XLRT2U,388.72,1350.0,1500.0,
CyberPower PR3000LCD,1848.95,2700.0,3000.0,
CyberPower CST135XLU,149.99,810.0,1350.0,
APC Back-UPS 850,161.99,510.0,850.0,https://cdna.pcpartpicker.com/static/forever/images/product/79be60ce3783b8918a1c0940d3e4ff19.256p.jpg
CyberPower CP1350PFCLCD,219.95,810.0,1350.0,
CyberPower CP1350AVRLCD,,810.0,1350.0,
APC SRT5KXLI,7200.0,4500.0,5000.0,
Trust Paxxon,,900.0,1500.0,
CyberPower OR2200LCDRT2U,665.95,1320.0,2000.0,
CyberPower EC650LCD,96.95,390.0,650.0,
APC SRT6KXLT,4967.46,6000.0,6000.0,
APC SUM3000RMXLI2U,,2850.0,3000.0,
APC BR1500GI,601.99,865.0,1500.0,
APC SRT8KXLI,5429.98,8000.0,8000.0,
APC SMT2200I,,1980.0,2200.0,
Tripp Lite ECO750UPS,134.82,450.0,750.0,
VERTIV Liebert PST5,74.99,500.0,850.0,
Tripp Lite SU10KRT3U,,7000.0,10000.0,
CyberPower PFC Sinewave CP1500PFCRM2U,359.95,1000.0,1500.0,
CyberPower CP1200AVR,169.95,720.0,1200.0,
APC SUA2200RM2U,999.99,1980.0,2200.0,
APC SMX2200HV,1999.99,1980.0,2200.0,
APC Back-UPS Pro 1500VA for Gaming,,900.0,1500.0,https://cdna.pcpartpicker.com/static/forever/images/product/b22fb9713e4ad5dd4245dbec30740766.256p.jpg
APC Easy UPS BV1000I-MS 230V,,600.0,1000.0,https://m.media-amazon.com/images/I/41tsfBjX5TL.jpg
CyberPower LE1000DG,138.4,530.0,1000.0,
APC SMX1500RMI2UNC,1385.61,1200.0,1500.0,
APC Back-UPS 1350,189.99,810.0,1350.0,
APC SURTA3000XL,3299.99,2100.0,3000.0,
VERTIV Liebert PST5,64.98,200.0,350.0,
HP AF450A,195.0,950.0,1400.0,
Tripp Lite SMART3000NET,1659.49,2400.0,3000.0,
Tripp Lite SMART1500LCD,291.58,900.0,1500.0,
APC Back-UPS Pro 1350VA,193.37,810.0,1350.0,https://cdna.pcpartpicker.com/static/forever/images/product/e0a34fbe10acaf519ea2ed36a8e7fc2e.256p.jpg
Tripp Lite SMART1500LCDT,243.03,900.0,1500.0,
APC SMX3000HVNC,3235.11,2700.0,3000.0,
CyberPower EC750G,109.95,450.0,750.0,
CyberPower CP850PFCLCD,169.95,510.0,850.0,
CyberPower PR2200LCD,1569.95,1980.0,2200.0,
APC BE650G1,97.49,390.0,650.0,
APC SMT1500US,,1000.0,1440.0,
CyberPower CP1000AVRLCD,175.95,600.0,1000.0,
APC BE850G2,133.38,450.0,850.0,
CyberPower CP900EPFCLCD,,540.0,900.0,
Tripp Lite SMART3000RMXLN,1317.19,2880.0,3000.0,
APC SRT5KXLT,3340.0,4250.0,5000.0,
CyberPower OL1500RTXL2U,1265.95,1350.0,1500.0,
CyberPower GX1500U,241.99,900.0,1500.0,
CyberPower PR5000LCDRTXL5U,4708.95,4000.0,5000.0,
CyberPower CP1500EPFCLCD,,900.0,1500.0,
APC SMT1500I,1002.21,980.0,1500.0,
APC Back-UPS Pro 1350S,231.78,810.0,1350.0,https://cdna.pcpartpicker.com/static/forever/images/product/e0a34fbe10acaf519ea2ed36a8e7fc2e.256p.jpg
Tripp Lite BC350,64.99,180.0,350.0,
APC SMX2200RMLV2U,1450.0,1980.0,2200.0,
APC BE550G,99.99,330.0,550.0,
APC SMT3000,2148.0,2700.0,3000.0,
APC SRT8KRMXLI,,8000.0,8000.0,
APC SURTA1500RMXL2U,699.0,1050.0,1500.0,
APC SURTD6000RMXLP3U,7299.99,4200.0,6000.0,
APC BN1100M2,444.22,600.0,1100.0,
Tripp Lite INTERNET350U,77.62,180.0,350.0,
Tripp Lite SMART1500PSGLCD,322.99,900.0,1500.0,
APC SMX3000RMLV2U,1685.0,2700.0,3000.0,
Tripp Lite SUINT2000XL,,1400.0,2000.0,
CyberPower CP1300EPFCLCD,,780.0,1300.0,
VERTIV Liebert PST5,44.69,300.0,500.0,
CyberPower AVRG900U,119.95,480.0,900.0,
APC SMX3000RMHV2UNC,3576.0,2700.0,3000.0,
Tripp Lite SM3000RMXL2UTAA,1741.58,2880.0,3000.0,
Tripp Lite SU2200XLCD,1512.54,1800.0,2200.0,
APC SRT8KRMXLT,4456.22,8000.0,8000.0,
APC SMT3000I,2148.0,2700.0,3000.0,
APC SRT5KRMXLI,4937.63,4500.0,5000.0,
APC SRT6KRMXLI,4240.79,6000.0,6000.0,
CyberPower CP1500AVRT,219.95,900.0,1500.0,
CyberPower CP900AVR,159.95,560.0,900.0,
CyberPower OL2200RTXL2U,1782.95,1800.0,2200.0,
APC SMT2200RM2U,1158.06,1980.0,2200.0,
APC SMX2000LV,1569.99,1800.0,1920.0,
APC SMX1500RMI2U,1242.99,1200.0,1500.0,
CyberPower EC550G,94.95,330.0,550.0,
VERTIV Liebert PSl5,598.5,1350.0,1440.0,
APC BK325I,,210.0,325.0,
APC SURTA3000RMXL3U,1444.06,2100.0,3000.0,
Tripp Lite INTERNET550U,81.19,300.0,550.0,
APC SMX3000RMLV2UNC,2549.98,2700.0,3000.0,
APC SMX2000RMLV2UNC,1722.51,1800.0,1920.0,
APC SMX3000HV,2797.99,2700.0,3000.0,
APC SRT6KRMXLT,4690.12,6000.0,6000.0,
CyberPower OR1500LCDRTXL2U,870.95,1125.0,1500.0,
APC BK500EI,153.99,300.0,500.0,
APC SMT1500RMI1U,2001.97,1000.0,1500.0,
APC SURTD5000RMXLT3U,2802.28,3500.0,5000.0,
APC BX600CI-IN,,360.0,600.0,
APC BR500CI-AS,81.9,300.0,500.0,
CyberPower OR500LCDRM1U,219.95,300.0,500.0,
APC SMC1500I,,900.0,1500.0,
APC SMX3000RMHV2U,2499.98,2700.0,3000.0,
APC SRT5KRMXLW-HW,,4500.0,5000.0,
Tripp Lite OMNIVS1500XL,257.54,940.0,1500.0,
Tripp Lite SM2200RMXL2UTAA,1304.99,1600.0,2200.0,
APC BK350,119.99,210.0,350.0,
APC BN1080G,,650.0,1080.0,
APC BR1000G,229.0,600.0,1000.0,
APC BX1000G,,600.0,1000.0,
APC SMC1000I,,600.0,1000.0,
APC SMT2200,1499.99,1980.0,2200.0,
APC SY12KEXBX120,,8400.0,12000.0,
Tripp Lite SMART2200RM2U,1107.9,1920.0,2200.0,
CyberPower PR1500LCDRT2U,,1350.0,1500.0,
CyberPower PR2200LCDRT2UTAA,,1600.0,2170.0,
IBM 53959KX,,10000.0,11000.0,
CyberPower LX1500GU-FC,,900.0,1500.0,
APC BR1500MS,,900.0,1500.0,
CyberPower BRG1500AVRLCD2,289.95,900.0,1500.0,
VERTIV Liebert PST5,84.99,400.0,660.0,
Tripp Lite OMNI1500LCDT,202.21,810.0,1500.0,
APC BN650M1,89.99,360.0,650.0,
CyberPower BRG1000AVRLCD,170.95,600.0,1000.0,
APC BK350EI,,210.0,350.0,
APC SC450RMI1U,409.0,280.0,450.0,
APC SMX3000LV,1897.34,2700.0,3000.0,
APC SMX3000LVNC,2797.99,2700.0,3000.0,
APC SURTD3KRMXL3U-TF5,1389.35,2100.0,3000.0,
Tripp Lite SMART1500CRMXL,910.95,1440.0,1500.0,
VERTIV Liebert PSA5,149.99,900.0,1500.0,
APC SMC1500,555.89,900.0,1500.0,
APC SMT3000R2X145,1925.06,2700.0,3000.0,
APC SMT3000RM2U,1899.0,2700.0,3000.0,
Tripp Lite INTERNET750U,113.75,450.0,750.0,
Tripp Lite SMART1000LCD,187.78,500.0,1000.0,
HP AF461A,2945.0,4500.0,5000.0,
APC BE670M1,149.13,360.0,675.0,
VERTIV Liebert PSA5,144.99,600.0,1000.0,
VERTIV Liebert PSA5,178.0,420.0,700.0,
APC BE750G,,450.0,750.0,
APC DLT1500RMI2U,,1000.0,1500.0,
APC SMT1500R2X122,979.58,1000.0,1500.0,
APC SRT5KRMXLT,3105.0,4250.0,5000.0,
Tripp Lite AVR750U,144.99,450.0,750.0,
Tripp Lite AVR900U,118.04,480.0,900.0,
Tripp Lite ECO550UPS,94.46,300.0,550.0,
Tripp Lite SM2200RMNAFTA,2270.31,1600.0,2200.0,
Tripp Lite SMART1500RM2U,856.4,1350.0,1500.0,
Tripp Lite SMART3000RM2U,1613.99,2250.0,3000.0,
Tripp Lite SMART3000RMXL2U,1537.1,2880.0,3000.0,
Tripp Lite SMART5000TEL3U,3587.99,3750.0,5000.0,
CyberPower CP550SL,,330.0,550.0,
CyberPower PR2200LCDRTXL2UTAA,,1650.0,2150.0,
CyberPower PR3000LCDRT2UTAA,,2250.0,3000.0,
Belkin F6H650-SER,60.44,360.0,650.0,
CyberPower CP825AVRLCD,134.94,450.0,825.0,
APC SMX1500RM2UNC,1385.61,1200.0,1500.0,
APC SMX2000LVNC,1899.99,1800.0,1920.0,
Tripp Lite SMART2200RMXL2U,1301.92,1920.0,2200.0,
Tripp Lite SMT1500LCDT,284.99,900.0,1500.0,
APC SUA3000I,,2700.0,3000.0,
APC SURTD2200XLIM,2082.29,1540.0,2200.0,
Tripp Lite SMART1500,350.0,980.0,1500.0,
Tripp Lite SMART2500XLHG,2372.99,1920.0,2200.0,
Tripp Lite SU2200RTXLCD2U,1863.95,1800.0,2200.0,
Tripp Lite SMART5000RT3U,5142.55,4000.0,5000.0,
CyberPower CP685AVR,,390.0,685.0,
VERTIV Liebert PSA5,74.98,300.0,500.0,
Tripp Lite SM3000RM2UTAA,1538.99,2250.0,3000.0,
Tripp Lite SMC15002URM,749.99,1000.0,1500.0,
APC SMT1000,519.99,670.0,1000.0,
APC BE650G1-LM,140.76,390.0,650.0,
APC BGE90M,,75.0,125.0,
APC BR1200GI,,720.0,1200.0,
APC DLT1500I,,1000.0,1500.0,
APC SC620I,,390.0,620.0,
APC SMC1000,513.95,600.0,1000.0,
APC SMC1000-2U,,600.0,1000.0,
APC SMC1500I-2U,,900.0,1500.0,
APC SMT2200RMI2U,,1980.0,2200.0,
APC SMT2200RMUS,1195.24,1980.0,2200.0,
APC SMT2200US,2123.87,1980.0,2200.0,
APC SMT3000RMUS,2315.0,2700.0,2880.0,
APC SMX2000RMLV2U,1449.0,1800.0,1920.0,
APC SMX2200RMHV2U,2425.0,1980.0,2200.0,
APC SUM1500RMXLI2U,,1425.0,1500.0,
APC SUM3000RMXL2U,2064.19,2850.0,3000.0,
APC SURTD5000RMXLI,,3500.0,5000.0,
APC SURTD5000RMXLP3U,6935.0,4000.0,5000.0,
APC SURTD5000XLI,,3500.0,5000.0,
Tripp Lite AVR550U,87.0,300.0,550.0,
Tripp Lite OMNIVSINT1000,,500.0,1000.0,
Tripp Lite SMART1050SLTAA,,650.0,1050.0,
Tripp Lite SMART1200LCD,324.67,700.0,1200.0,
Tripp Lite SMART1500RM2UN,1198.0,1350.0,1500.0,
Tripp Lite SMART1500RMXL2UA,873.27,1350.0,1500.0,
Tripp Lite SMART3000RM2UN,1869.99,2250.0,3000.0,
Tripp Lite SU3000RTXLCD2U,2496.98,2700.0,3000.0,
Tripp Lite SU3000XLCD,,2700.0,3000.0,
Tripp Lite SU1500XLCD,1225.0,1350.0,1500.0,
Tripp Lite SMART750,,450.0,750.0,
Tripp Lite SMX1000RT2U,,700.0,1000.0,
Tripp Lite SMX1200XLHG,1046.99,750.0,1000.0,
Tripp Lite SMX1500LCDT,292.39,900.0,1500.0,
Tripp Lite SMX2200XLRT2U,,1920.0,2200.0,
Tripp Lite SMART700,,450.0,700.0,
Tripp Lite OMNIVSINT1500XL,418.32,940.0,1500.0,
Tripp Lite INTERNET900U,143.99,480.0,900.0,
CyberPower CP1500PFCLCDTAA,309.95,900.0,1500.0,
CyberPower CP425SLG,,255.0,425.0,
CyberPower CP750LCD,,420.0,750.0,
CyberPower CP850AVRLCD,164.95,510.0,850.0,
CyberPower CS16U48V-8,,16.0,,
CyberPower OL3000RTXL2U,2332.94,2700.0,3000.0,
CyberPower PR1000LCD,677.95,700.0,1000.0,
CyberPower PR1500LCDRTXL2U,,1350.0,1500.0,
CyberPower PR2200LCDRT2U,,1600.0,2170.0,
CyberPower PR2200LCDRTXL2U,,2150.0,2150.0,
CyberPower PR3000LCDRTXL2U,,3000.0,3000.0,
Tripp Lite SMART500RT1U,254.22,300.0,500.0,
HP AF448A,,670.0,1000.0,
Lenovo 33L3478,,,675.0,
Lenovo 55943AX,,2700.0,3000.0,
Eaton 66942,,250.0,500.0,
CyberPower CST1500S,,900.0,1500.0,
